ville,pays,latitude,longitude,timestamp_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
New York,US,40.7128,-74.006,2026-07-15T06:40:42+00:00,2,132.39,0.0,5.35,80.46,3.24,5.08,8.24,1.91
Paris,FR,48.8566,2.3522,2026-07-15T06:40:55+00:00,2,119.67,0.62,5.7,70.09,1.33,7.46,9.36,6.66
Antananarivo,MG,-18.8792,47.5079,2026-07-15T06:49:02+00:00,1,141.07,0.07,0.28,50.37,0.44,7.6,10.26,1.12
Tokyo,JP,35.6762,139.6503,2026-07-15T06:49:07+00:00,3,147.77,0.12,2.71,135.72,3.79,27.12,34.77,0.0
Sydney,AU,-33.8688,151.2093,2026-07-15T06:49:08+00:00,2,69.13,0.02,0.72,63.48,0.33,1.08,4.02,0.1
New York,US,40.7128,-74.006,2026-07-15T06:54:26+00:00,2,132.39,0.0,5.35,80.46,3.24,5.08,8.24,1.91
Paris,FR,48.8566,2.3522,2026-07-15T06:55:06+00:00,2,119.67,0.62,5.7,70.09,1.33,7.46,9.36,6.66
Antananarivo,MG,-18.8792,47.5079,2026-07-15T07:00:23+00:00,1,141.07,0.07,0.28,50.37,0.44,7.6,10.26,1.12
Tokyo,JP,35.6762,139.6503,2026-07-15T07:00:39+00:00,3,147.77,0.12,2.71,135.72,3.79,27.12,34.77,0.0
Sydney,AU,-33.8688,151.2093,2026-07-15T07:00:42+00:00,2,69.13,0.02,0.72,63.48,0.33,1.08,4.02,0.1
Paris,FR,48.8566,2.3522,2026-07-15T07:59:08+00:00,2,120.75,1.03,5.85,72.12,1.52,7.33,9.22,6.62
Antananarivo,MG,-18.8792,47.5079,2026-07-15T08:00:27+00:00,1,123.01,0.04,0.14,52.39,0.37,6.88,9.25,0.89
Tokyo,JP,35.6762,139.6503,2026-07-15T08:01:12+00:00,3,145.49,0.08,2.85,136.59,3.18,26.0,34.48,0.0
Sydney,AU,-33.8688,151.2093,2026-07-15T08:01:27+00:00,1,71.54,0.0,1.23,59.44,0.36,1.3,4.78,0.15
Antananarivo,MG,-18.8792,47.5079,2026-07-15T08:06:52+00:00,1,123.01,0.04,0.14,52.39,0.37,6.88,9.25,0.89
Paris,FR,48.8566,2.3522,2026-07-15T08:07:12+00:00,2,120.75,1.03,5.85,72.12,1.52,7.33,9.22,6.62
Tokyo,JP,35.6762,139.6503,2026-07-15T08:07:35+00:00,3,145.49,0.08,2.85,136.59,3.18,26.0,34.48,0.0
Sydney,AU,-33.8688,151.2093,2026-07-15T08:07:44+00:00,1,71.54,0.0,1.23,59.44,0.36,1.3,4.78,0.15
New York,US,40.7128,-74.006,2026-07-15T08:10:57+00:00,2,136.22,0.0,5.81,75.29,3.23,5.61,8.7,1.85
Paris,FR,48.8566,2.3522,2026-07-21T11:15:01+00:00,2,99.19,0.32,1.25,93.74,1.1,4.56,10.55,2.79
Sydney,AU,-33.8688,151.2093,2026-07-21T11:15:07+00:00,1,118.35,0.01,8.07,32.17,1.14,9.6,12.6,0.31
